api_count,router_cpu_pct,router_mem_used,controller_cpu_pct,controller_mem_used,policy_cpu_pct,policy_mem_used,http_code
1,0.53%,24.62MiB,0.00%,18.41MiB,0.10%,13.67MiB,201
2,0.30%,24.62MiB,0.00%,18.49MiB,0.03%,13.68MiB,201
3,0.27%,24.62MiB,0.00%,18.52MiB,0.02%,13.8MiB,201
4,0.30%,24.62MiB,0.00%,20.65MiB,0.03%,13.83MiB,201
5,0.48%,26.62MiB,0.00%,20.83MiB,0.02%,13.88MiB,201
6,0.34%,26.62MiB,0.00%,20.86MiB,0.03%,13.91MiB,201
7,0.41%,26.63MiB,0.00%,20.96MiB,0.04%,13.94MiB,201
8,0.31%,26.63MiB,0.00%,21.16MiB,0.03%,15.96MiB,201
9,0.46%,26.66MiB,0.00%,21.27MiB,0.03%,16.05MiB,201
10,0.39%,26.66MiB,0.00%,23.62MiB,0.02%,18.08MiB,201
11,0.29%,26.66MiB,0.00%,23.97MiB,0.03%,18.17MiB,201
12,1.08%,26.66MiB,0.00%,26.23MiB,0.04%,18.22MiB,201
13,0.46%,28.66MiB,0.00%,26.37MiB,0.05%,18.22MiB,201
14,0.43%,28.66MiB,0.00%,26.78MiB,0.03%,18.23MiB,201
15,0.28%,28.66MiB,0.00%,27.27MiB,0.02%,20.27MiB,201
16,0.29%,28.66MiB,0.00%,27.3MiB,0.04%,22.33MiB,201
17,0.26%,28.66MiB,0.00%,29.38MiB,0.04%,22.34MiB,201
18,0.43%,28.66MiB,0.00%,29.39MiB,0.03%,22.36MiB,201
19,0.27%,28.66MiB,0.00%,29.39MiB,0.05%,22.38MiB,201
20,0.51%,28.66MiB,0.00%,28.64MiB,0.03%,22.39MiB,201
21,0.24%,28.66MiB,0.03%,28.7MiB,0.05%,22.39MiB,201
22,0.38%,28.72MiB,0.00%,29.81MiB,0.03%,22.4MiB,201
23,0.32%,28.71MiB,0.00%,30.29MiB,0.04%,22.42MiB,201
24,0.32%,28.71MiB,0.00%,31.71MiB,0.03%,22.42MiB,201
25,0.30%,28.71MiB,0.00%,31.71MiB,0.04%,22.47MiB,201
26,0.29%,30.72MiB,0.00%,28.96MiB,0.03%,22.48MiB,201
27,0.42%,30.72MiB,0.00%,29.1MiB,0.04%,22.99MiB,201
28,0.28%,30.77MiB,0.00%,30.77MiB,0.04%,22.99MiB,201
29,0.28%,30.77MiB,0.00%,31.48MiB,0.05%,22.5MiB,201
30,0.40%,30.77MiB,0.00%,31.96MiB,0.03%,22.5MiB,201
31,0.46%,30.78MiB,0.00%,32.06MiB,0.03%,23.06MiB,201
32,0.34%,30.77MiB,0.00%,33.05MiB,0.03%,23.11MiB,201
33,0.40%,30.77MiB,0.00%,37.16MiB,0.04%,26.13MiB,201
34,0.37%,30.77MiB,0.00%,37.17MiB,0.03%,26.16MiB,201
35,0.31%,30.77MiB,0.00%,37.16MiB,0.03%,26.17MiB,201
36,0.39%,30.77MiB,0.00%,39.26MiB,0.02%,26.17MiB,201
37,0.41%,30.77MiB,0.00%,37.03MiB,0.03%,26.18MiB,201
38,1.69%,34.78MiB,0.00%,38.72MiB,0.03%,26.18MiB,201
39,0.41%,34.78MiB,0.00%,39.83MiB,0.03%,26.22MiB,201
40,1.40%,34.78MiB,0.00%,43MiB,0.04%,26.22MiB,201
41,0.28%,34.78MiB,0.00%,36.8MiB,0.04%,26.5MiB,201
42,0.26%,34.78MiB,0.00%,38.3MiB,0.02%,26.6MiB,201
43,0.30%,34.78MiB,0.00%,43.4MiB,0.04%,29.34MiB,201
44,0.46%,34.78MiB,0.00%,39.82MiB,0.02%,29.37MiB,201
45,0.28%,34.78MiB,0.00%,42.55MiB,0.06%,29.62MiB,201
46,0.29%,34.78MiB,0.00%,43.1MiB,0.06%,29.63MiB,201
47,0.35%,34.78MiB,0.00%,42.32MiB,0.04%,27.11MiB,201
48,0.39%,34.78MiB,0.00%,42.32MiB,0.76%,28.12MiB,201
49,0.34%,34.78MiB,0.00%,44.34MiB,0.05%,29.99MiB,201
50,0.28%,34.78MiB,0.00%,47.28MiB,0.03%,31.92MiB,201
